PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
,,
5.20000,,
10.00000,,
15.20000,,
20.40000,,
25.40000,33.76706,3.90600
29.00000,33.97306,3.62900
34.40000,,
40.80000,,
45.00000,34.14806,2.90600
49.30000,34.18806,2.93700
55.70000,34.39406,2.50200
59.10000,34.46306,2.53500
64.10000,34.45406,2.64100
69.30000,34.57506,2.69900
74.50000,34.61906,2.86900
79.90000,34.62006,3.13400
84.80000,34.65206,3.21000
89.70000,,
94.60000,,
99.50000,34.69106,3.31300
104.50000,34.72906,3.32500
109.50000,34.73206,3.41900
114.60000,34.74706,3.51400
119.90000,34.77606,3.52400
125.40000,,
129.00000,,
134.50000,34.79805,3.74800
140.09999,34.80705,3.86000
145.59999,34.79306,3.84000
149.29999,34.79906,3.84100
155.29999,34.82405,3.86100
160.50000,34.80706,3.93400
164.20000,34.79406,3.95100
169.89999,34.78605,3.90400
175.70000,34.82506,3.87000
179.50000,34.82406,3.93000
183.29999,34.81905,3.92000
190.70000,34.83806,3.92900
195.59999,34.84505,3.96000
200.50000,34.81606,4.01800
205.50000,34.80406,3.99700
210.50000,34.81406,3.95200
215.59999,34.81706,3.92200
219.20000,34.83506,3.90800
224.50000,34.84805,3.91600
229.79999,34.84905,3.96500
235.09999,34.84705,3.98900
240.29999,34.85606,3.99900
245.50000,34.82406,4.03500
249.09999,34.84505,3.99200
254.50000,,
259.89999,,
265.39999,34.85106,4.09900
269.19998,34.85005,4.08700
274.79999,34.85305,4.06700
280.39999,34.84605,4.07200
284.29999,34.85105,4.06400
290.00000,34.84205,4.05300
295.89999,34.83806,4.03300
299.19998,34.85806,4.01000
304.19998,34.86507,4.01600
309.19998,34.87405,4.02500
314.29999,34.89706,4.03400
319.39999,34.90105,4.07200
324.60001,34.89605,4.13300
329.79999,,
335.00000,,
340.10001,34.86007,4.15800
345.39999,34.86806,4.12700
350.79999,34.85506,4.12100
354.29999,34.85205,4.11200
359.60001,34.86606,4.04600
366.69998,34.84705,4.06400
370.29999,,
375.79999,,
379.39999,34.82605,3.92300
385.00000,34.84706,3.89000
390.50000,34.84805,3.88100
394.29999,34.85305,3.87300
399.89999,34.86606,3.86900
405.50000,34.87704,3.87200
409.29999,34.87705,3.90900
415.00000,34.88706,3.93400
420.60001,34.91705,3.96600
424.39999,34.91904,4.00700
430.00000,34.89805,4.13000
435.60001,34.90205,4.13500
439.39999,34.89905,4.15100
445.10001,34.89705,4.15800
450.79999,34.89505,4.15500
454.60001,34.89606,4.15300
460.39999,34.89204,4.15200
464.29999,34.89005,4.14800
470.10001,34.88906,4.14100
475.89999,34.88906,4.13300
479.69998,34.88706,4.12500
485.50000,34.89005,4.11400
489.39999,34.88605,4.11300
495.19998,34.87606,4.11000
499.10001,34.86806,4.09300
506.89999,34.85505,4.02700
510.19998,34.82906,4.02200
515.10004,34.83006,3.96200
519.90002,34.85405,3.88200
524.70001,34.86506,3.86300
529.60004,34.86705,3.86200
534.50000,34.86705,3.86500
539.40002,34.86905,3.86900
544.40002,34.87206,3.87100
549.30005,34.87405,3.87500
554.30005,34.87206,3.88100
559.50000,34.87606,3.87800
564.60004,34.88305,3.88300
569.60004,34.86306,3.92300
576.20001,34.85805,3.90200
579.60004,34.85705,3.88400
584.60004,34.86205,3.86300
588.20001,34.86904,3.85500
594.50000,34.86605,3.85300
599.60004,34.86705,3.84500
604.70001,34.87106,3.84100
610.00000,34.87105,3.84300
615.10004,34.86705,3.84800
620.20001,34.87105,3.84400
625.30005,34.87206,3.84300
630.30005,34.87406,3.84300
635.20001,34.87906,3.84300
640.20001,34.88905,3.85200
