PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
2.10000,35.92600,27.79000
2.70000,35.92700,27.75800
3.60000,35.93000,27.65100
4.50000,35.93000,27.61100
5.40000,35.93200,27.60100
6.40000,35.93500,27.58900
7.40000,35.94400,27.57100
8.60000,35.96300,27.55500
9.50000,35.98800,27.54600
10.30000,36.01700,27.53500
11.40000,36.03600,27.54700
12.60000,36.05000,27.51000
13.60000,36.05100,27.48900
14.50000,36.05200,27.47700
15.50000,36.04800,27.45900
16.40000,36.04600,27.45000
17.60000,36.04200,27.43100
18.50000,36.03900,27.41600
19.30000,36.03600,27.40400
20.40000,36.03200,27.37500
21.50000,36.02800,27.32400
22.60000,36.02800,27.30800
23.60000,36.03800,27.28200
24.60000,36.04800,27.26300
25.60000,36.05100,27.25100
26.60000,36.05700,27.23900
27.60000,36.06100,27.17300
28.60000,36.06000,27.03100
29.60000,36.06100,26.94200
30.70000,36.06600,26.79100
31.70000,36.06900,26.68900
32.60000,36.06900,26.64300
33.50000,36.06900,26.58900
34.50000,36.06500,26.52100
35.50000,36.06200,26.45100
36.50000,36.06300,26.38600
37.50000,36.06800,26.30300
38.50000,36.06900,26.21000
39.50000,36.07100,26.11200
40.50000,36.07300,26.02600
41.60000,36.07400,25.86800
42.40000,36.07600,25.74800
43.30000,36.07500,25.50600
44.50000,36.07100,25.11300
45.70000,36.06600,24.73500
46.60000,36.06200,24.39700
47.40000,36.04500,24.14100
48.50000,36.03400,23.41400
49.60000,36.01000,22.84400
50.60000,35.98600,22.35000
51.60000,35.97300,22.24000
52.60000,35.95100,21.76500
53.60000,35.92000,20.90200
54.60000,35.91700,20.59400
55.60000,35.90800,20.17300
56.60000,35.90500,19.76300
57.60000,35.89900,19.60300
58.60000,35.89000,19.24600
59.50000,35.88400,19.12400
60.40000,35.88200,18.97400
61.60000,35.87100,18.76400
62.60000,35.87300,18.68600
63.40000,35.87400,18.65900
64.50000,35.87000,18.62000
65.40000,35.86800,18.59700
66.30000,35.86100,18.55900
67.50000,35.85000,18.49000
68.40000,35.83000,18.28800
69.30000,35.80100,18.07900
70.60000,35.75700,17.53000
71.50000,35.75400,17.49900
72.50000,35.74900,17.37800
73.50000,35.74300,17.30100
74.60000,35.74000,17.21800
75.40000,35.73700,17.14700
76.30000,35.73400,17.11100
77.40000,35.72900,17.05300
78.60000,35.72300,16.97100
79.50000,35.72800,16.94700
80.40000,35.71900,16.78500
81.60000,35.71600,16.63000
82.70000,35.70600,16.48900
83.60000,35.70900,16.39300
84.30000,35.70600,16.34800
85.50000,35.71000,16.31600
86.60000,35.70700,16.26700
87.50000,35.70100,16.13100
88.40000,35.68600,15.98000
89.60000,35.66000,15.74400
90.70000,35.64600,15.55100
91.50000,35.63600,15.47800
92.40000,35.63500,15.45700
93.70000,35.63300,15.41800
94.60000,35.62600,15.31000
95.50000,35.61500,15.25600
96.60000,35.60300,15.16200
97.70000,35.58300,14.94700
