PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
6.00000,36.35600,27.94400
7.00000,36.35700,27.94300
8.00000,36.35700,27.94400
9.00000,36.35700,27.94400
10.00000,36.35700,27.94400
11.00000,36.35700,27.94400
12.00000,36.35700,27.94500
13.00000,36.35600,27.94600
14.00000,36.35800,27.94400
15.00000,36.35700,27.94600
16.00000,36.35700,27.94600
17.00000,36.35700,27.94600
18.00000,36.35700,27.94600
19.00000,36.35700,27.94700
20.00000,36.35600,27.94700
26.00000,36.35900,27.94400
35.00000,36.36400,27.92400
45.00000,36.36000,27.70700
56.00000,36.37000,27.13700
66.00000,36.52200,25.30000
75.00000,36.58900,24.20300
85.00000,36.62000,23.08100
95.00000,36.56500,21.62600
105.00000,36.50500,20.76200
116.00000,36.52600,19.72600
126.00000,36.23100,17.89000
135.00000,36.16800,17.00000
145.00000,36.01700,16.20000
155.00000,35.83200,15.15900
165.00000,35.70700,14.46000
175.00000,35.54500,13.49500
186.00000,35.46700,13.01600
195.00000,35.41500,12.63200
213.00000,35.40600,12.39400
238.00000,35.29100,11.66600
263.00000,35.23900,11.29000
288.00000,35.21900,11.08100
314.00000,35.18000,10.75600
338.00000,35.14100,10.42800
363.00000,35.09400,10.09500
388.00000,35.07100,9.88700
413.00000,35.05500,9.73200
438.00000,35.00900,9.39600
463.00000,34.97900,9.11900
488.00000,34.96300,8.91400
513.00000,34.93700,8.66300
538.00000,34.91500,8.41700
563.00000,34.89400,8.17800
588.00000,34.87000,7.92800
613.00000,34.84000,7.64300
638.00000,34.84300,7.56300
663.00000,34.83900,7.44000
688.00000,34.82300,7.25000
713.00000,34.82200,7.14400
738.00000,34.81000,6.97100
763.00000,34.77900,6.69900
789.00000,34.73800,6.33800
813.00000,34.75000,6.25100
838.00000,34.76200,6.19500
863.00000,34.78200,6.17700
888.00000,34.78200,6.03400
913.00000,34.77600,5.87500
938.00000,34.77200,5.71600
963.00000,34.77900,5.62500
988.00000,34.79100,5.54400
1013.00000,34.80900,5.51600
1038.00000,34.83100,5.49700
1063.00000,34.85100,5.46800
1088.00000,34.86100,5.41700
1113.00000,34.87600,5.37400
1138.00000,34.89300,5.34400
1163.00000,34.90900,5.29700
1188.00000,34.92500,5.23700
1214.00000,34.94200,5.16800
1238.00000,34.95300,5.12300
1263.00000,34.96400,5.08200
1288.00000,34.97000,5.04000
1313.00000,34.97600,4.98000
1338.00000,34.98200,4.91800
1363.00000,34.98800,4.84600
1388.00000,34.99300,4.77000
1413.00000,34.99600,4.71300
1438.00000,34.99900,4.65000
1463.00000,35.00000,4.58400
1488.00000,35.00100,4.52800
1513.00000,35.00200,4.48700
1538.00000,35.00300,4.43300
1563.00000,35.00600,4.39400
1588.00000,35.00500,4.35400
1613.00000,35.00500,4.30800
1638.00000,35.00400,4.26400
1663.00000,35.00100,4.21200
1688.00000,35.00100,4.17300
1713.00000,34.99900,4.12300
1738.00000,34.99600,4.05000
1763.00000,34.99400,3.99900
1788.00000,34.99200,3.95300
1813.00000,34.99000,3.90600
1838.00000,34.98800,3.85400
1863.00000,34.98600,3.80800
1888.00000,34.98500,3.76600
1914.00000,34.98300,3.72900
1938.00000,34.98200,3.69400
1963.00000,34.98100,3.64800
1988.00000,34.97900,3.60700
2011.00000,34.97800,3.56900
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
