PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
6.00000,36.01270,27.90500
7.00000,36.01170,27.91000
8.00000,36.01570,27.91500
9.00000,36.01370,27.91700
10.00000,36.01570,27.91400
15.00000,36.02670,27.92000
26.00000,36.10070,27.62000
35.00000,36.25070,26.30600
45.00000,36.34770,25.09900
56.00000,36.24470,21.19100
66.00000,35.75970,17.22300
76.00000,35.55470,15.10900
85.00000,35.46270,14.14700
96.00000,35.41770,13.71900
106.00000,35.37970,13.37800
116.00000,35.35070,13.15800
126.00000,35.32170,12.92100
136.00000,35.29170,12.67600
145.00000,35.26370,12.47800
155.00000,35.22270,12.17600
165.00000,35.19770,11.95700
176.00000,35.18170,11.82900
186.00000,35.16870,11.72600
195.00000,35.16170,11.64900
210.00000,35.14470,11.46600
230.00000,35.11970,11.19400
250.00000,35.05370,10.73300
270.00000,34.99170,10.35100
290.00000,34.97970,10.22200
310.00000,34.99670,10.16600
331.00000,35.00770,10.12000
351.00000,35.03070,10.10200
371.00000,35.05370,10.12700
391.00000,35.10870,10.22900
410.00000,35.11470,10.04200
431.00000,35.10170,9.85300
450.00000,35.05970,9.52900
470.00000,35.03470,9.32500
490.00000,35.03470,9.23900
510.00000,35.02870,9.04200
531.00000,35.01570,8.91600
551.00000,35.00370,8.78000
570.00000,34.99170,8.63000
591.00000,34.94870,8.30100
611.00000,34.91270,8.04800
630.00000,34.87070,7.71700
650.00000,34.86370,7.58400
670.00000,34.86170,7.46300
690.00000,34.87570,7.43700
711.00000,34.87270,7.35300
731.00000,34.86070,7.22700
751.00000,34.85170,7.10800
771.00000,34.83770,6.93100
791.00000,34.82970,6.80800
810.00000,34.82170,6.68000
830.00000,34.81670,6.56200
850.00000,34.81170,6.41900
871.00000,34.80770,6.29000
890.00000,34.80770,6.17000
911.00000,34.80870,6.06100
930.00000,34.81170,5.97200
950.00000,34.81370,5.87600
970.00000,34.80970,5.76700
991.00000,34.81170,5.67900
1011.00000,34.81870,5.63600
1031.00000,34.82470,5.58700
1051.00000,34.83370,5.53200
1071.00000,34.84170,5.49300
1091.00000,34.84970,5.44300
1111.00000,34.85870,5.39000
1130.00000,34.86870,5.35200
1150.00000,34.88270,5.29300
1171.00000,34.89570,5.21800
1190.00000,34.90970,5.16600
1210.00000,34.91870,5.10500
1230.00000,34.92570,5.05600
1251.00000,34.93370,5.00400
1270.00000,34.94370,4.95700
1291.00000,34.94970,4.91000
1310.00000,34.95570,4.86800
1331.00000,34.95870,4.83200
1351.00000,34.96370,4.78800
1371.00000,34.96570,4.72600
1391.00000,34.97070,4.69300
1410.00000,34.97570,4.66400
1430.00000,34.97670,4.61700
1450.00000,34.97270,4.54100
1470.00000,34.97270,4.48200
1491.00000,34.97370,4.42000
1511.00000,34.97470,4.36500
1530.00000,34.97870,4.34100
1550.00000,34.97970,4.29600
1571.00000,34.97970,4.24600
1591.00000,34.97670,4.20200
1610.00000,34.97770,4.17500
1631.00000,34.97870,4.12400
1651.00000,34.97870,4.08500
1670.00000,34.97770,4.02700
1690.00000,34.97570,4.00400
1710.00000,34.97370,3.95400
1730.00000,34.97270,3.93500
1751.00000,34.97270,3.89500
1770.00000,34.97370,3.86900
1790.00000,34.97370,3.85000
1810.00000,34.97470,3.82900
1831.00000,34.97370,3.80700
1851.00000,34.97270,3.78900
1871.00000,34.97170,3.75600
1890.00000,34.97070,3.73300
1910.00000,34.97070,3.71000
1931.00000,34.96970,3.68800
1950.00000,34.96970,3.67300
1971.00000,34.96870,3.64600
1991.00000,34.96770,3.60800
2008.00000,34.96670,3.58900
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
