PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
5.80000,35.83200,28.20200
10.50000,35.83300,28.18800
20.50000,35.85900,28.08800
28.80000,35.89100,27.77100
40.90000,36.03200,24.97500
50.50000,35.81800,19.49400
60.70000,35.76300,17.43400
70.10000,35.61500,16.07400
80.20000,35.54500,15.22400
89.90000,35.49700,14.73800
99.70000,35.46000,14.36400
110.00000,35.41900,13.96400
120.30000,35.38700,13.69500
130.10001,35.37000,13.54300
140.00000,35.32900,13.20500
150.50000,35.30200,12.94900
160.20000,35.28400,12.80300
170.10001,35.26300,12.62800
180.39999,35.24700,12.46900
189.60001,35.23500,12.36800
199.70000,35.21400,12.20200
210.30000,35.19200,11.99200
220.30000,35.17600,11.88400
230.39999,35.15300,11.67800
240.30000,35.14200,11.57200
250.20000,35.15400,11.56900
260.00000,35.14600,11.50800
269.89999,35.14600,11.45500
280.50000,35.14400,11.37600
290.29999,35.13600,11.28800
300.00000,35.15900,11.27800
310.00000,35.15500,11.19700
319.79999,35.14300,11.08100
329.60001,35.16600,11.14700
338.79999,35.16900,11.04100
350.50000,35.16300,10.89600
360.29999,35.15400,10.77800
379.89999,35.21300,10.87200
399.79999,35.16500,10.51300
449.89999,35.13100,10.07800
500.00000,35.06800,9.45500
548.79999,35.00700,8.99100
600.50000,34.99500,8.68900
650.29999,34.90500,7.91400
699.79999,34.80400,7.03500
750.20001,34.75400,6.50500
799.90002,34.73600,6.13600
850.29999,34.73600,5.93000
900.20001,34.73800,5.66600
949.90002,34.76000,5.52200
997.79999,34.77100,5.37200
1050.00000,34.80900,5.22900
1100.19995,34.83900,5.14100
1150.30005,34.85600,5.01500
1200.19995,34.88300,4.92500
1249.80005,34.90800,4.82400
1299.59998,34.91700,4.70900
1350.30005,34.92800,4.62200
1399.90002,34.94700,4.56100
1450.19995,34.95600,4.44800
1499.59998,34.95400,4.25100
1550.19995,34.96300,4.16500
1600.19995,34.96500,4.06100
1649.69995,34.96600,4.00600
1700.00000,34.96600,3.92600
1749.90002,34.96600,3.85900
1800.00000,34.96600,3.77800
1849.59998,34.96500,3.73000
1899.69995,34.96600,3.65900
1950.00000,34.96400,3.61500
