PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
4.50000,35.06612,16.63600
8.90000,35.06612,16.63900
19.00000,35.06612,16.63800
29.50000,35.06212,16.62400
39.20000,35.13512,15.10500
49.20000,35.16913,13.40400
59.10000,35.16713,12.61500
68.80000,35.15714,11.69200
79.10000,35.15214,11.21800
98.60000,35.14314,10.53300
118.80000,35.14414,10.20800
139.00000,35.14714,10.00700
159.09999,35.13114,9.79500
178.80000,35.09514,9.41000
198.89999,35.06414,9.11800
224.00000,35.04114,8.80600
249.09999,35.01014,8.37300
274.00000,34.98315,8.01600
298.60001,34.95115,7.47900
323.50000,34.95115,7.05500
348.90002,34.95615,6.93100
373.90002,34.95315,6.63300
398.80002,34.96315,6.34800
424.20001,34.99115,6.32000
448.80002,34.99415,6.05500
474.20001,34.97215,5.73500
499.10001,34.97215,5.57800
524.20001,34.94015,5.21900
549.00000,34.97715,5.28100
574.00000,34.98615,5.26400
598.70001,34.97815,5.08700
623.70001,34.97615,4.98900
649.00000,34.99115,5.01800
674.20001,34.99315,4.99000
699.10004,34.99615,4.94500
748.79999,34.98915,4.79500
798.90002,34.97815,4.63600
848.90002,34.97515,4.52700
899.00000,34.95915,4.33100
948.60004,34.95015,4.20400
998.90002,34.94115,4.09400
1048.79993,34.93715,4.01400
1098.89990,34.93015,3.94100
1149.09998,34.92415,3.85400
1199.00000,34.91815,3.78100
1249.00000,34.91315,3.71300
1299.00000,34.90815,3.66100
1348.59998,34.90215,3.60100
1398.79993,34.90315,3.58700
1448.79993,34.90715,3.58900
1498.79993,34.90315,3.53000
1503.09998,34.90215,3.52600
