PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
1.12000,35.29900,29.85700
1.96000,35.29800,29.84800
2.96000,35.29700,29.84300
4.00000,35.29600,29.84100
5.00000,35.29700,29.84000
6.00000,35.29700,29.84000
7.00000,35.29700,29.83900
7.96000,35.29700,29.83900
8.96000,35.29600,29.83700
10.20000,35.29600,29.83800
12.00000,35.29700,29.83800
14.00000,35.29700,29.83700
16.04000,35.29800,29.83700
18.08000,35.29800,29.83600
20.04000,35.30300,29.84100
22.04000,35.30900,29.84600
23.96000,35.33600,29.83600
25.92000,35.68300,29.27500
27.96000,36.03800,28.34500
29.96000,36.26100,27.81700
32.00000,36.34500,26.71900
34.04000,36.34400,26.11100
36.00000,36.32700,25.68100
38.00000,36.33900,25.26000
40.00000,36.32200,24.94100
42.00000,36.33800,24.70100
44.04000,36.31600,24.40900
46.00000,36.31100,24.23600
48.00000,36.31200,24.12400
49.84000,36.33400,23.91900
52.04000,36.31600,23.60700
54.04000,36.31400,23.47400
55.96000,36.32700,23.29100
57.96000,36.32600,23.01800
60.04000,36.31800,22.87600
62.04000,36.32300,22.73500
63.96000,36.33400,22.57900
65.92000,36.40100,22.23000
67.92000,36.40800,21.79400
69.96000,36.42400,21.67500
72.04000,36.45000,21.59900
74.00000,36.47000,21.44200
75.92000,36.50800,21.20100
77.92000,36.53700,20.94100
79.92000,36.52900,20.75100
81.92000,36.55300,20.58400
84.00000,36.54800,20.37000
86.04000,36.54600,20.24800
88.00000,36.56100,20.12000
89.92000,36.53900,19.99600
91.96000,36.55400,19.84300
94.04000,36.56200,19.57300
96.00000,36.53300,19.37400
97.96000,36.51900,19.23600
100.04000,36.51900,19.07300
102.00000,36.50200,18.89100
103.88000,36.48000,18.72400
105.92000,36.46600,18.60500
107.92000,36.45400,18.50600
110.00000,36.43800,18.36500
112.04000,36.43000,18.28500
113.92000,36.41900,18.18100
116.00000,36.41000,18.08200
118.04000,36.39700,17.95400
120.00000,36.38300,17.82900
122.04000,36.36300,17.72000
123.92000,36.36100,17.64200
125.96000,36.34600,17.51700
127.96000,36.33000,17.35500
130.00000,36.31800,17.19900
132.00000,36.28800,17.03200
134.03999,36.26200,16.91100
136.08000,36.24900,16.84500
137.96001,36.25000,16.74400
139.96001,36.22600,16.61300
142.00000,36.21000,16.47200
144.03999,36.18300,16.36400
146.00000,36.17800,16.29900
148.00000,36.16000,16.20200
150.00000,36.14500,16.06500
152.03999,36.13200,15.98100
154.03999,36.11400,15.89000
156.03999,36.10800,15.84000
158.00000,36.09900,15.75900
159.96001,36.08000,15.69400
162.00000,36.07800,15.67200
164.03999,36.08400,15.56700
166.08000,36.04300,15.40800
168.08000,36.03500,15.34100
170.08000,36.01900,15.24400
172.03999,36.00800,15.19700
173.92000,36.00200,15.15200
175.96001,35.99200,15.10900
178.00000,35.98400,15.08100
180.00000,35.98200,15.07200
181.96001,35.98200,15.06700
183.96001,35.98100,15.04900
186.03999,35.97700,15.02100
188.08000,35.97300,14.99900
190.08000,35.96700,14.97700
192.00000,35.96600,14.96500
193.96001,35.96300,14.94800
195.96001,35.96200,14.92700
198.00000,35.95500,14.89500
200.03999,35.95300,14.86900
202.08000,35.94600,14.82800
204.00000,35.94300,14.79700
205.96001,35.93500,14.74800
208.00000,35.92900,14.72900
210.03999,35.93100,14.67000
212.08000,35.91400,14.60200
214.00000,35.90300,14.52300
215.96001,35.89300,14.47300
217.96001,35.88200,14.43000
220.00000,35.87900,14.40500
222.00000,35.87600,14.34900
224.03999,35.86200,14.27700
226.08000,35.85200,14.26100
228.00000,35.85600,14.24100
229.92000,35.84700,14.19700
232.00000,35.84300,14.16100
234.08000,35.83400,14.11400
236.00000,35.82800,14.10100
237.96001,35.82800,14.08700
240.03999,35.82400,14.06700
242.00000,35.82500,14.04600
243.96001,35.81600,14.00300
245.96001,35.80900,13.98600
247.96001,35.80800,13.98000
249.96001,35.80600,13.96800
251.96001,35.80500,13.95700
254.03999,35.80400,13.94100
256.00000,35.80300,13.90000
257.95999,35.79300,13.84000
260.04001,35.78400,13.79500
262.00000,35.78200,13.73500
263.95999,35.76000,13.67500
266.04001,35.75700,13.66600
268.00000,35.76600,13.63100
269.95999,35.75100,13.52200
272.07999,35.73500,13.41200
274.04001,35.71800,13.29900
276.00000,35.69900,13.17100
278.04001,35.67700,13.09000
280.00000,35.67100,13.01900
282.00000,35.65200,12.93400
284.04001,35.64200,12.87600
286.00000,35.63500,12.84200
287.95999,35.63000,12.80300
290.00000,35.62300,12.76500
292.07999,35.62300,12.70800
294.00000,35.60900,12.62600
295.95999,35.59600,12.55900
297.95999,35.58400,12.50900
300.00000,35.58200,12.46900
302.04001,35.57300,12.40400
304.07999,35.56500,12.33400
306.04001,35.55200,12.26800
308.04001,35.54100,12.20300
310.04001,35.53600,12.14500
312.04001,35.52300,12.06800
314.04001,35.51200,12.00400
316.07999,35.50200,11.94300
318.07999,35.49400,11.88900
320.00000,35.48800,11.82000
321.92001,35.47900,11.75000
323.92001,35.46000,11.65900
325.95999,35.45800,11.62000
328.00000,35.44600,11.53600
330.00000,35.43900,11.44700
332.04001,35.42000,11.37300
334.04001,35.41200,11.30300
336.07999,35.40100,11.23100
338.04001,35.39200,11.18400
339.95999,35.38400,11.13500
342.00000,35.37700,11.09200
344.04001,35.37000,11.06200
346.07999,35.36700,11.03800
348.00000,35.36800,11.01000
349.95999,35.35600,10.96700
352.04001,35.35400,10.95500
354.12000,35.35300,10.93600
356.12000,35.35300,10.88700
358.04001,35.33700,10.84800
360.04001,35.33700,10.84500
362.00000,35.33500,10.83900
364.00000,35.33500,10.83200
366.04001,35.33400,10.82900
368.04001,35.33200,10.81900
370.04001,35.33000,10.81800
371.95999,35.33300,10.81000
374.00000,35.32900,10.79200
376.00000,35.33000,10.76700
377.92001,35.32200,10.73400
379.95999,35.32100,10.70600
382.00000,35.32200,10.66200
384.00000,35.30500,10.59000
385.95999,35.30100,10.56300
388.04001,35.29600,10.51200
390.00000,35.29200,10.47000
392.00000,35.28300,10.40200
394.00000,35.27600,10.35000
395.92001,35.26600,10.29400
398.00000,35.26000,10.25600
400.04001,35.25900,10.20600
401.95999,35.24800,10.12900
404.00000,35.23600,10.07900
406.04001,35.22900,10.05800
407.92001,35.23100,10.03700
410.00000,35.22800,9.99100
412.07999,35.21800,9.95200
414.04001,35.21400,9.91600
415.95999,35.20900,9.89800
418.00000,35.20900,9.87100
420.00000,35.20100,9.82500
421.92001,35.19900,9.79500
424.00000,35.19100,9.76100
426.07999,35.18900,9.72300
428.04001,35.18400,9.69200
430.04001,35.18300,9.64700
432.04001,35.17400,9.60300
434.00000,35.16600,9.57000
435.95999,35.16400,9.54600
437.95999,35.16000,9.52600
439.92001,35.15800,9.50500
442.04001,35.15500,9.47200
444.04001,35.15500,9.42500
445.95999,35.14500,9.36800
448.00000,35.13800,9.32700
450.07999,35.13400,9.29200
452.07999,35.12800,9.25200
454.04001,35.12500,9.22500
455.95999,35.12200,9.18300
457.95999,35.11300,9.15200
460.04001,35.11300,9.13600
462.00000,35.11000,9.11700
464.00000,35.10800,9.08200
465.95999,35.10200,9.07000
467.92001,35.10700,9.04100
469.95999,35.09700,8.98200
472.04001,35.09100,8.95700
473.95999,35.09200,8.92600
475.95999,35.08700,8.87000
478.00000,35.07900,8.84200
479.92001,35.07700,8.82800
482.00000,35.07600,8.80400
484.00000,35.07100,8.78100
485.95999,35.06900,8.77800
487.92001,35.06900,8.77600
489.95999,35.07000,8.77400
492.07999,35.07300,8.76100
494.07999,35.06900,8.71400
496.04001,35.06100,8.68600
498.04001,35.06500,8.66900
499.95999,35.06300,8.61200
502.00000,35.04900,8.56900
504.00000,35.04700,8.56000
505.92001,35.04600,8.55300
508.00000,35.04800,8.53900
510.07999,35.04500,8.50600
512.00000,35.04100,8.48000
514.03998,35.03800,8.46700
516.03998,35.04100,8.44700
517.96002,35.03700,8.41100
519.96002,35.03500,8.36800
522.00000,35.02600,8.33500
524.03998,35.02500,8.32100
526.00000,35.02500,8.30500
528.00000,35.02200,8.27500
530.00000,35.01800,8.25300
532.03998,35.02000,8.22700
534.00000,35.01400,8.18700
535.91998,35.01200,8.15900
537.96002,35.00700,8.13100
540.00000,35.00700,8.10300
542.00000,35.00300,8.07300
544.03998,34.99900,8.05300
546.03998,35.00200,8.03200
548.03998,34.99800,7.99000
550.00000,34.99200,7.95800
551.91998,34.99200,7.93900
553.96002,34.99000,7.90500
556.00000,34.98800,7.86000
557.96002,34.98200,7.83000
559.91998,34.98200,7.80300
561.88000,34.97700,7.77500
564.00000,34.97800,7.75600
566.03998,34.97800,7.71800
567.96002,34.96900,7.68500
569.91998,34.96800,7.67700
571.96002,34.96900,7.66800
574.03998,34.97400,7.61900
576.00000,34.96700,7.57000
578.00000,34.96200,7.53100
580.00000,34.96000,7.51500
582.00000,34.95800,7.48800
584.03998,34.95700,7.46200
586.03998,34.95500,7.44800
588.00000,34.96000,7.41500
589.96002,34.95400,7.34800
592.03998,34.94700,7.31100
594.08002,34.94300,7.30100
596.00000,34.94600,7.29500
598.00000,34.94400,7.27300
599.96002,34.94200,7.26400
601.96002,34.94200,7.25800
604.03998,34.94500,7.24300
606.03998,34.94300,7.21200
608.03998,34.94000,7.19900
610.00000,34.94100,7.18200
612.00000,34.93800,7.16200
614.00000,34.93900,7.14200
615.96002,34.93700,7.12200
618.08002,34.93700,7.09900
620.08002,34.93400,7.08400
622.03998,34.93400,7.07700
624.03998,34.93500,7.06300
626.00000,34.93400,7.03900
627.96002,34.93200,7.02100
629.91998,34.93200,6.99800
631.91998,34.93100,6.97000
633.91998,34.93200,6.94200
635.96002,34.92700,6.92000
637.91998,34.92500,6.91400
640.03998,34.92500,6.91100
642.00000,34.92500,6.90400
644.00000,34.92700,6.89600
646.08002,34.92800,6.87200
648.03998,34.92300,6.85800
650.00000,34.92500,6.85400
652.08002,34.92500,6.83600
654.03998,34.92700,6.81100
656.08002,34.92300,6.78000
658.00000,34.92000,6.77200
659.91998,34.92100,6.77000
662.00000,34.92500,6.75500
664.03998,34.92300,6.72100
666.03998,34.92100,6.70300
668.00000,34.92200,6.69100
669.91998,34.92000,6.66500
671.96002,34.91900,6.65800
674.00000,34.91800,6.65100
676.03998,34.91900,6.64300
677.96002,34.92100,6.63100
679.91998,34.92000,6.61200
681.96002,34.92200,6.57200
684.00000,34.91600,6.55200
686.08002,34.91800,6.54400
688.03998,34.91700,6.53100
690.00000,34.92000,6.51300
692.03998,34.91600,6.48800
694.00000,34.91900,6.47300
695.96002,34.91700,6.44700
698.03998,34.91600,6.43500
700.03998,34.91700,6.41900
701.96002,34.91700,6.39700
704.03998,34.91500,6.38600
706.08002,34.91600,6.37500
707.96002,34.91500,6.36200
709.88000,34.91300,6.35500
