PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
9.60000,34.58600,8.49800
19.50000,34.58900,8.41300
29.60000,34.59000,8.36200
39.50000,34.59000,8.35400
49.30000,34.57200,8.33900
59.20000,34.69800,4.77900
69.50000,34.71200,4.13300
79.20000,34.72900,3.87700
89.40000,34.74000,3.79800
99.20000,34.74500,3.71000
109.20000,34.75300,3.66400
119.30000,34.76400,3.67400
129.10001,34.77300,3.63400
139.20000,34.77900,3.58100
149.10001,34.79200,3.62600
159.30000,34.80200,3.62000
169.20000,34.80300,3.57700
179.30000,34.81000,3.55900
189.10001,34.81500,3.56900
199.50000,34.82700,3.62200
209.39999,34.82500,3.58700
219.50000,34.82500,3.56100
229.30000,34.82300,3.51700
239.50000,34.82800,3.53400
249.30000,34.82900,3.52100
259.29999,34.83000,3.50700
269.50000,34.83000,3.49100
279.10001,34.82700,3.44700
289.39999,34.82700,3.42400
299.50000,34.82600,3.40800
309.60001,34.82700,3.39800
319.10001,34.82900,3.39400
329.29999,34.82900,3.39500
339.10001,34.82500,3.34700
349.50000,34.83200,3.38900
359.50000,34.82800,3.35100
379.00000,34.83400,3.38600
399.00000,34.83200,3.35800
449.50000,34.82600,3.28900
499.20001,34.83000,3.30100
549.29999,34.83100,3.29500
599.40002,34.83100,3.28200
649.29999,34.83200,3.27700
699.20001,34.83300,3.27800
749.29999,34.83100,3.25200
799.29999,34.83000,3.24000
849.50000,34.82900,3.21900
899.40002,34.83000,3.22200
949.09998,34.83100,3.22700
999.29999,34.83000,3.21100
1049.09998,34.82900,3.20100
1099.19995,34.83300,3.22300
1149.59998,34.83600,3.24100
1199.50000,34.84300,3.27500
1249.50000,34.84400,3.27500
1299.40002,34.84500,3.27500
1349.19995,34.84800,3.28900
1399.09998,34.85400,3.31900
1449.50000,34.86800,3.38400
1499.50000,34.87900,3.42300
1549.19995,34.88100,3.41300
1599.09998,34.88200,3.38200
1649.19995,34.88200,3.35600
1699.30005,34.88000,3.32300
1749.50000,34.87900,3.28800
1799.50000,34.87700,3.26100
1849.50000,34.87500,3.23000
1899.09998,34.87400,3.19500
1949.40002,34.87100,3.16200
1997.80005,34.87000,3.13700
