AL082002, 20020913, 1800,  , EX, 56.0N,  49.5W,  45,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, 20020913, 56, 310, meds/4900101/profiles/D4900101_007.nc
AL052003, 20030721, 0600,  , LO, 38.8N,  36.8W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, 20030721, 39, 323, coriolis/69024/profiles/D69024_077.nc
AL162003, 20030930, 1200,  , TS, 31.8N,  35.1W,  55,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, 20030930, 32, 325, coriolis/1900079/profiles/D1900079_037.nc
AL112004, 20040920, 1800,  , HU, 27.2N,  71.4W,  75,  984,   90,   80,   80,   90,   60,   40,   50,   50,   20,   20,   20,   20, -999, 20040920, 27, 289, aoml/4900563/profiles/D4900563_010.nc
AL132004, 20040924, 1800,  , TD, 14.0N,  43.8W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20040924, 14, 316, aoml/4900465/profiles/D4900465_020.nc
AL162004, 20041204, 0000,  , LO, 25.8N,  50.2W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20041204, 26, 310, aoml/4900548/profiles/D4900548_022.nc
AL042005, 20050710, 1200,  , HU, 28.5N,  86.3W, 120,  930,  175,  200,   90,  115,  100,   75,   30,   50,   25,   25,   15,   25, -999, 20050710, 28, 274, aoml/49060/profiles/D49060_157.nc
AL062005, 20050725, 0600,  , TS, 31.0N,  70.5W,  40, 1000,    0,  120,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20050725, 31, 290, aoml/4900159/profiles/D4900159_132.nc
AL062005, 20050725, 1200,  , TS, 30.9N,  69.8W,  40,  999,    0,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20050725, 31, 290, aoml/4900159/profiles/D4900159_132.nc
AL062005, 20050725, 1800,  , TS, 30.9N,  69.6W,  40,  999,    0,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20050725, 31, 290, aoml/4900159/profiles/D4900159_132.nc
AL092005, 20050809, 1800,  , TD, 22.4N,  54.8W,  30, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20050809, 22, 305, aoml/4900360/profiles/D4900360_083.nc
AL242005, 20051010, 0000,  , TS, 34.3N,  18.3W,  60,  990,   60,   70,   60,   50,   30,   30,   30,   20,    0,    0,    0,    0, -999, 20051010, 34, 342, aoml/1900562/profiles/D1900562_002.nc
AL012006, 20060617, 0600,  , EX, 51.5N,  39.0W,  40,  995,    0,  325,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20060617, 52, 321, meds/4900676/profiles/D4900676_019.nc
AL052006, 20060826, 1800,  , LO, 26.5N,  47.5W,  25, 1011,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20060826, 26, 312, aoml/4900548/profiles/D4900548_085.nc
AL072006, 20060904, 1200,  , TD, 16.0N,  42.3W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20060904, 16, 318, aoml/4900728/profiles/D4900728_022.nc
AL072006, 20060915, 1800,  , EX, 49.8N,  27.5W,  40,  986,  150,  390,  390,  240,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20060915, 50, 332, coriolis/6900261/profiles/D6900261_029.nc
AL092006, 20060919, 1800,  , HU, 24.4N,  53.5W,  90,  956,  175,  175,  150,  175,  100,   75,   60,  100,   50,   30,   30,   50, -999, 20060919, 24, 306, aoml/4900360/profiles/D4900360_123.nc
AL102008, 20080905, 0600,  , TS, 15.4N,  34.0W,  40, 1002,  150,    0,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20080905, 15, 326, coriolis/1901076/profiles/D1901076_028.nc
AL152008, 20081015, 1200,  , HU, 14.9N,  67.4W,  75,  984,   75,  105,  120,   45,   40,   50,   50,   20,   15,   15,   15,    0, -999, 20081015, 15, 293, aoml/4900754/profiles/D4900754_087.nc
AL152008, 20081016, 1200,  , HU, 19.6N,  62.1W,  90,  975,  120,  120,   75,   45,   50,   70,   40,   30,   25,   30,   25,   15, -999, 20081016, 20, 298, aoml/4900755/profiles/D4900755_087.nc
AL022009, 20090812, 0000,  , TD, 14.6N,  31.0W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20090812, 15, 329, aoml/1900766/profiles/D1900766_084.nc
AL072009, 20090919, 0600,  , LO, 26.4N,  69.0W,  25, 1012,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20090919, 26, 291, aoml/4900600/profiles/D4900600_165.nc
AL122010, 20100915, 0000,  , HU, 16.4N,  30.6W,  90,  973,   90,   60,   60,   60,   30,   30,   20,   30,   20,   20,    0,   20, -999, 20100915, 16, 329, aoml/1900765/profiles/D1900765_124.nc
AL122011, 20110909, 0000,  , HU, 35.6N,  69.4W,  80,  964,  200,  200,  180,  160,  120,  120,  100,  100,   60,   60,   40,   50, -999, 20110909, 36, 291, aoml/4900442/profiles/D4900442_285.nc
AL122011, 20110909, 0600,  , HU, 37.1N,  68.4W,  75,  963,  200,  210,  150,  160,  120,  120,  100,  100,   55,   55,   45,   50, -999, 20110909, 37, 292, aoml/4900803/profiles/D4900803_175.nc
AL172011, 20110924, 0600,  , TD, 11.0N,  24.7W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999, 20110924, 11, 335, coriolis/6900768/profiles/D6900768_028.nc
