PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
10.00000,36.05600,27.67200
20.00000,36.06015,27.67400
30.00000,36.08207,27.65800
40.00000,36.08592,27.64800
50.00000,36.08493,27.65600
60.00000,36.14572,27.54400
70.00000,36.31339,27.04800
80.00000,36.46045,26.31800
90.00000,36.46761,25.69000
100.00000,36.51599,25.50600
110.00000,36.61082,24.98600
120.00000,36.70514,24.35800
130.00000,36.71539,23.68200
140.00000,36.74734,23.00600
150.00000,36.77084,22.59200
160.00000,36.79874,22.24000
170.00000,36.78202,21.90000
180.00000,36.78288,21.65600
190.00000,36.77830,21.29600
200.00000,36.77019,21.01600
220.00000,36.76647,20.48000
240.00000,36.72599,19.87600
260.00000,36.70144,19.40800
280.00000,36.67291,19.06800
300.00000,36.65649,18.85200
320.00000,36.65659,18.74000
340.00000,36.64057,18.59600
360.00000,36.62834,18.46000
380.00000,36.63234,18.38400
400.00000,36.62820,18.30600
450.00000,36.61620,18.18600
500.00000,36.60443,18.07200
550.00000,36.54065,17.80200
600.00000,36.46480,17.41800
650.00000,36.37724,16.95000
700.00000,36.23393,16.20600
750.00000,36.02959,15.06600
800.00000,35.87802,14.16000
850.00000,35.70600,13.06200
900.00000,35.56223,11.98200
950.00000,35.39821,10.76400
1000.00000,35.26607,9.57600
1050.00000,35.18575,8.48000
1100.00000,35.13625,7.56800
