PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
5.00000,37.21301,26.83100
10.00000,37.21300,26.83000
15.00000,37.21416,26.83000
20.00000,37.21518,26.81900
25.00000,37.21533,26.80800
30.00000,37.21663,26.78700
35.00000,37.21970,26.74400
40.00000,37.22847,26.56600
45.00000,37.23859,26.40400
50.00000,37.25207,25.76400
55.00000,37.22599,24.65500
60.00000,37.15663,23.44000
65.00000,37.13589,23.19600
70.00000,37.14298,23.01800
75.00000,37.10905,22.56800
80.00000,37.05102,21.99900
85.00000,37.03819,21.88400
90.00000,37.02083,21.68500
95.00000,37.01578,21.57900
100.00000,37.00675,21.34600
105.00000,37.01363,21.24600
110.00000,36.96999,20.88200
115.00000,36.93653,20.70100
120.00000,36.86220,20.28900
125.00000,36.82441,20.05200
130.00000,36.82484,20.02800
135.00000,36.81885,19.97500
140.00000,36.80457,19.86000
145.00000,36.77806,19.70500
150.00000,36.75816,19.58400
155.00000,36.72934,19.39200
160.00000,36.69643,19.19200
165.00000,36.67894,19.05400
170.00000,36.66513,18.93900
175.00000,36.64819,18.81100
180.00000,36.62110,18.61700
185.00000,36.60328,18.49500
190.00000,36.59396,18.42300
195.00000,36.58384,18.36600
200.00000,36.58092,18.31700
220.00000,36.55572,18.09500
240.00000,36.53254,17.92300
260.00000,36.51367,17.79700
280.00000,36.48962,17.63500
300.00000,36.46665,17.48900
320.00000,36.44174,17.33700
340.00000,36.41246,17.16200
360.00000,36.39367,17.05700
380.00000,36.36337,16.89600
400.00000,36.30178,16.56500
450.00000,36.12270,15.52300
500.00000,35.96593,14.54900
550.00000,35.80119,13.44400
600.00000,35.63071,12.25100
650.00000,35.51957,11.35900
700.00000,35.41763,10.52400
750.00000,35.31250,9.64600
800.00000,35.21755,8.85000
850.00000,35.12698,8.03400
900.00000,35.09185,7.52000
950.00000,35.05666,7.07700
1000.00000,35.04757,6.74000
1050.00000,35.04670,6.44900
1100.00000,35.04333,6.08500
1150.00000,35.05254,5.93100
1200.00000,35.04948,5.64900
1250.00000,35.04631,5.39900
1300.00000,35.04821,5.24800
1350.00000,35.04911,5.14600
1400.00000,35.05122,5.09200
1450.00000,35.06313,4.98000
1500.00000,35.06924,4.90900
1550.00000,35.07320,4.79000
1600.00000,35.07536,4.68500
1650.00000,35.06434,4.49600
1700.00000,35.05642,4.32400
1750.00000,35.04516,4.11800
1800.00000,35.04002,4.04300
