PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
1.00000,35.89386,28.44800
2.00000,35.89481,28.45000
2.92000,35.89498,28.45300
3.88000,35.89608,28.45400
4.92000,35.89492,28.45100
6.00000,35.89502,28.45300
6.96000,35.89488,28.45200
7.96000,35.89472,28.45300
9.04000,35.89489,28.45800
10.28000,35.89592,28.46000
12.04000,35.89793,28.46200
14.08000,35.89869,28.46300
15.96000,35.91890,28.47400
17.88000,36.01417,28.47700
19.96000,36.19560,28.43700
21.96000,36.21124,28.42300
23.96000,36.21155,28.41300
26.00000,36.21230,28.39700
28.00000,36.21223,28.38900
30.00000,36.21230,28.38300
32.04000,36.21245,28.37500
34.00000,36.21260,28.36300
36.00000,36.21229,28.34600
37.96000,36.21265,28.33900
40.00000,36.21384,28.32200
42.00000,36.21170,28.26900
44.00000,36.21372,28.22400
45.96000,36.21912,28.17900
47.96000,36.22630,28.12100
49.96000,36.23857,28.06200
52.00000,36.26358,27.93500
54.04000,36.28250,27.86400
56.00000,36.30589,27.76900
58.00000,36.32069,27.71600
60.00000,36.33971,27.64400
62.04000,36.35671,27.56700
64.08000,36.37014,27.52100
66.00000,36.38791,27.44200
68.04000,36.42291,27.30700
69.96000,36.45402,27.17500
72.00000,36.47781,27.11600
74.04000,36.49197,27.11800
76.00000,36.55292,27.15200
78.00000,36.67119,27.20200
79.96000,36.72254,27.18100
81.96000,36.78481,27.14200
84.00000,36.86133,27.13000
85.96000,36.85149,26.99700
87.96000,36.85240,26.96300
90.00000,36.88105,26.93300
92.00000,36.88297,26.87300
94.00000,36.91128,26.68900
95.96000,36.94505,26.63500
97.92000,36.95881,26.55000
99.92000,36.95454,26.47200
102.00000,36.95525,26.40600
104.04000,36.98761,26.27200
106.08000,37.01677,26.15200
108.00000,37.04117,25.98300
109.96000,37.09008,25.75800
112.00000,37.20987,25.44000
114.04000,37.25758,25.38500
115.96000,37.30349,25.35000
117.96000,37.33090,25.25500
120.00000,37.35179,25.10000
122.08000,37.35320,24.88200
124.00000,37.34364,24.77800
125.96000,37.34023,24.69300
127.96000,37.32532,24.53000
129.96001,37.30002,24.39100
132.00000,37.27446,24.28700
134.00000,37.26142,24.22800
136.00000,37.24801,24.16700
137.96001,37.23955,24.10200
140.00000,37.20541,23.83800
142.00000,37.14997,23.41700
144.00000,37.05753,22.97300
146.00000,37.00586,22.80500
148.00000,36.99629,22.76900
149.92000,36.99535,22.67900
151.96001,36.96712,22.33300
153.92000,36.92694,21.95700
155.96001,36.88866,21.71000
158.03999,36.86272,21.48800
160.00000,36.85764,21.35400
162.00000,36.86806,21.31400
164.00000,36.89568,21.29200
166.00000,36.92703,21.25800
168.03999,36.92796,21.06700
170.00000,36.90263,20.94900
171.96001,36.88111,20.75000
173.96001,36.82269,20.35500
176.00000,36.82745,20.34200
178.00000,36.82642,20.30700
180.00000,36.82919,20.25500
181.96001,36.81227,20.07500
183.92000,36.78798,19.92600
185.96001,36.77589,19.78300
188.00000,36.75597,19.66200
189.96001,36.73743,19.54400
191.96001,36.71612,19.43500
193.96001,36.71102,19.39700
195.96001,36.69471,19.19900
198.00000,36.64859,19.00000
200.03999,36.64352,18.95600
202.03999,36.63274,18.85000
204.00000,36.60460,18.64200
206.00000,36.55320,18.33500
208.03999,36.51414,18.16600
209.96001,36.48765,17.98200
212.00000,36.43724,17.78700
214.00000,36.44608,17.75800
216.00000,36.43503,17.68100
218.03999,36.41836,17.55800
220.00000,36.39714,17.45400
221.96001,36.39148,17.40900
223.96001,36.37517,17.32200
226.00000,36.36512,17.27200
228.00000,36.35806,17.22300
230.00000,36.34578,17.17200
232.00000,36.34570,17.15900
233.96001,36.33490,17.09500
235.96001,36.32986,17.05400
238.00000,36.31725,16.98100
240.08000,36.31171,16.95400
242.00000,36.30824,16.91900
244.00000,36.28993,16.81500
246.00000,36.26936,16.70200
248.00000,36.23621,16.52700
250.00000,36.20947,16.40300
252.00000,36.20234,16.35400
254.00000,36.18690,16.22300
256.00000,36.17872,16.16300
258.00000,36.15469,16.02200
260.00000,36.13457,15.93600
262.00000,36.12530,15.90000
264.00000,36.12450,15.89400
266.00000,36.12225,15.88300
268.00000,36.11962,15.85400
270.04001,36.11092,15.81400
272.04001,36.10464,15.77000
274.00000,36.10015,15.73600
275.95999,36.08355,15.64000
278.00000,36.06628,15.55800
280.00000,36.04761,15.45700
281.95999,36.03666,15.40000
283.95999,36.03076,15.36400
286.00000,36.02075,15.29800
288.00000,36.02144,15.26600
290.00000,35.99541,15.11400
291.92001,35.96307,14.99000
293.95999,35.95280,14.94200
296.00000,35.94921,14.90300
297.95999,35.93037,14.82200
300.00000,35.92683,14.81400
302.04001,35.93201,14.82100
304.04001,35.94571,14.80400
306.04001,35.93208,14.68400
308.00000,35.92127,14.63900
310.00000,35.92124,14.59400
311.95999,35.90483,14.51600
313.92001,35.88527,14.42900
315.95999,35.87817,14.40800
317.95999,35.87403,14.36400
319.95999,35.86294,14.24600
322.00000,35.84247,14.17700
324.00000,35.83817,14.15200
325.95999,35.83491,14.10500
328.04001,35.82292,14.06000
330.07999,35.81915,14.04400
332.00000,35.81657,14.02500
333.92001,35.80441,13.92600
336.00000,35.78490,13.80000
338.00000,35.76161,13.66400
340.07999,35.74517,13.58400
342.04001,35.73772,13.51800
343.95999,35.71707,13.41100
345.95999,35.70474,13.32300
348.00000,35.68875,13.26000
350.00000,35.68187,13.22500
351.95999,35.67355,13.18400
354.00000,35.66659,13.15100
356.07999,35.65671,13.09100
358.04001,35.64779,13.03400
359.95999,35.63406,12.95200
361.95999,35.62223,12.86300
364.00000,35.60249,12.76400
365.95999,35.58997,12.71300
367.95999,35.58410,12.67200
369.95999,35.57468,12.60200
371.92001,35.55999,12.54100
373.95999,35.55320,12.52100
375.95999,35.54939,12.47400
378.00000,35.53796,12.39700
380.00000,35.52137,12.30600
381.95999,35.51231,12.25900
383.95999,35.50172,12.16300
386.00000,35.48421,12.05400
388.04001,35.46337,11.95700
390.00000,35.45095,11.90400
392.00000,35.44639,11.88700
393.95999,35.44437,11.86100
396.00000,35.43156,11.75800
398.00000,35.41788,11.67900
400.00000,35.40326,11.61400
402.00000,35.39817,11.59200
404.00000,35.38838,11.51900
406.00000,35.37590,11.46500
408.00000,35.37194,11.44800
410.00000,35.37071,11.43100
412.00000,35.36081,11.34800
413.95999,35.34529,11.26500
415.95999,35.33239,11.17100
418.00000,35.31688,11.07300
420.04001,35.29871,10.96100
422.04001,35.28990,10.90600
423.95999,35.27969,10.84400
425.95999,35.26936,10.78500
428.00000,35.26115,10.73300
430.00000,35.25319,10.68600
431.95999,35.24498,10.63900
433.95999,35.23909,10.59700
436.00000,35.23354,10.55400
438.00000,35.22053,10.43000
440.00000,35.20118,10.32800
442.04001,35.18973,10.28300
444.04001,35.18895,10.24900
446.00000,35.17619,10.18000
448.04001,35.17108,10.15400
450.00000,35.16703,10.13100
451.92001,35.16573,10.11100
453.95999,35.15819,10.07000
455.95999,35.15807,10.06800
458.00000,35.15652,10.02400
460.04001,35.14304,9.92400
462.00000,35.12008,9.78800
463.95999,35.11524,9.75200
465.95999,35.10411,9.65700
468.00000,35.09101,9.58600
470.04001,35.08551,9.56600
472.00000,35.08331,9.55600
473.95999,35.08261,9.55000
475.95999,35.08280,9.53800
478.00000,35.07623,9.49600
480.04001,35.07133,9.47000
482.04001,35.07083,9.44400
484.00000,35.06207,9.37900
485.95999,35.05578,9.35600
487.95999,35.05492,9.34200
489.95999,35.05036,9.30000
491.95999,35.04512,9.25000
493.95999,35.03439,9.18000
496.00000,35.02958,9.15100
498.00000,35.02644,9.13800
500.04001,35.02549,9.12900
502.04001,35.02319,9.11800
503.95999,35.02354,9.11500
505.92001,35.02034,9.10300
507.92001,35.01965,9.09700
509.95999,35.01730,9.08200
512.00000,35.01553,9.07600
513.91998,35.01588,9.06700
515.91998,35.01148,9.02400
518.00000,35.00476,8.99000
520.03998,35.00346,8.97500
522.00000,35.00022,8.94400
523.96002,34.99281,8.89600
525.96002,34.98785,8.85700
528.00000,34.98336,8.83800
529.96002,34.98187,8.83200
531.96002,34.98227,8.81500
534.03998,34.97487,8.76100
536.00000,34.96883,8.72100
537.96002,34.96374,8.70400
539.91998,34.96440,8.69100
542.00000,34.95988,8.63500
544.03998,34.95205,8.59300
546.00000,34.94999,8.57300
548.00000,34.94713,8.55300
550.03998,34.94254,8.50500
552.03998,34.93887,8.47300
554.00000,34.93259,8.43200
556.00000,34.92947,8.42000
557.96002,34.92738,8.41000
560.00000,34.92709,8.40300
562.03998,34.92638,8.38000
564.00000,34.92196,8.32800
566.00000,34.91659,8.30800
567.96002,34.91449,8.29600
569.91998,34.91333,8.28600
571.96002,34.91162,8.27900
574.00000,34.91188,8.26700
576.03998,34.90749,8.22400
578.03998,34.90292,8.19200
580.00000,34.90179,8.17500
582.03998,34.89789,8.13600
584.00000,34.89235,8.09600
586.00000,34.88676,8.06700
588.00000,34.88535,8.05300
590.00000,34.88345,8.02400
592.00000,34.87848,7.99200
593.96002,34.87660,7.98300
595.96002,34.87506,7.97100
598.00000,34.87336,7.94800
599.91998,34.86976,7.91900
602.00000,34.86767,7.90300
604.03998,34.86484,7.88900
606.00000,34.86404,7.87200
608.03998,34.86108,7.84900
610.03998,34.85961,7.82600
612.00000,34.85739,7.81300
614.00000,34.85732,7.80500
616.03998,34.85608,7.79800
618.03998,34.85728,7.79700
620.00000,34.85620,7.79100
622.00000,34.85623,7.78700
624.00000,34.85610,7.78200
626.03998,34.85603,7.78000
628.00000,34.85638,7.78000
629.96002,34.85731,7.77400
632.00000,34.85429,7.72200
634.03998,34.84830,7.69400
636.00000,34.84626,7.66900
637.96002,34.83915,7.62100
640.00000,34.83455,7.59700
642.03998,34.83265,7.58600
643.96002,34.83294,7.57600
645.96002,34.82440,7.51000
648.00000,34.82135,7.50400
650.00000,34.82295,7.49900
652.03998,34.81789,7.45400
654.00000,34.81516,7.43600
655.96002,34.81210,7.41200
657.96002,34.81071,7.38900
660.03998,34.80747,7.37300
662.08002,34.80780,7.36400
664.03998,34.80672,7.34700
666.08002,34.80342,7.33100
668.00000,34.80428,7.32300
670.00000,34.80505,7.31700
672.03998,34.80606,7.31600
674.00000,34.80643,7.31500
676.00000,34.80766,7.30600
678.00000,34.80643,7.29100
680.00000,34.80633,7.28200
682.00000,34.80521,7.27500
683.96002,34.80439,7.27100
685.96002,34.80443,7.26300
688.00000,34.80458,7.25400
690.00000,34.80320,7.24100
692.03998,34.80229,7.23700
693.96002,34.80424,7.23400
695.91998,34.80465,7.18600
697.96002,34.79710,7.14800
700.00000,34.79698,7.14600
702.03998,34.79739,7.14700
704.03998,34.79780,7.13900
706.03998,34.79686,7.12200
708.03998,34.79570,7.10400
709.96002,34.79724,7.09100
712.00000,34.79510,7.06400
714.08002,34.79317,7.04000
716.08002,34.79237,7.01600
718.03998,34.78851,6.98600
720.00000,34.78664,6.97600
721.96002,34.78633,6.96300
723.96002,34.78602,6.95600
725.96002,34.78596,6.95600
727.96002,34.78531,6.95700
729.96002,34.78651,6.95100
732.00000,34.78643,6.94000
733.96002,34.78526,6.93100
735.96002,34.78541,6.92600
737.96002,34.78513,6.91700
740.03998,34.78408,6.91400
742.08002,34.78452,6.91300
744.03998,34.78513,6.90300
746.00000,34.78387,6.87900
748.03998,34.78141,6.86000
749.96002,34.78117,6.85300
751.96002,34.78075,6.82800
753.96002,34.77845,6.81200
756.00000,34.77848,6.80300
758.08002,34.77911,6.79300
760.00000,34.77760,6.76900
762.03998,34.77662,6.75700
764.00000,34.77442,6.74400
765.91998,34.77341,6.73700
767.91998,34.77377,6.70800
770.00000,34.76767,6.66800
772.08002,34.76532,6.65500
774.03998,34.76442,6.64900
776.00000,34.76304,6.64000
778.00000,34.76364,6.64000
780.03998,34.76226,6.62600
782.03998,34.76232,6.62200
784.03998,34.76105,6.59500
786.00000,34.75434,6.55100
788.00000,34.75076,6.52400
790.03998,34.74427,6.48600
792.03998,34.74016,6.46000
794.00000,34.73665,6.43600
796.03998,34.73549,6.42300
798.03998,34.73378,6.41200
800.00000,34.73817,6.41900
801.96002,34.74106,6.41500
803.91998,34.74210,6.41400
805.91998,34.74239,6.41200
807.91998,34.74343,6.40400
809.91998,34.74438,6.39500
811.96002,34.74454,6.38700
814.00000,34.74474,6.37600
816.00000,34.74205,6.35900
817.96002,34.74456,6.36000
820.03998,34.74630,6.34700
822.03998,34.74572,6.34000
824.00000,34.74685,6.34600
825.96002,34.74762,6.34900
828.00000,34.75110,6.35800
830.00000,34.75492,6.35600
832.00000,34.75705,6.35800
833.96002,34.75826,6.35700
836.00000,34.75856,6.35200
838.00000,34.75762,6.34000
840.00000,34.75640,6.32700
841.96002,34.75616,6.31900
843.96002,34.75533,6.31600
846.00000,34.75542,6.30900
848.00000,34.75511,6.30100
850.00000,34.75420,6.27800
852.00000,34.75031,6.25200
853.96002,34.74919,6.24700
856.00000,34.75090,6.24400
858.00000,34.75258,6.22600
860.00000,34.75358,6.19300
862.00000,34.75327,6.16000
864.00000,34.75076,6.13300
866.00000,34.75265,6.11900
868.00000,34.74846,6.10300
870.03998,34.75293,6.11600
872.00000,34.75497,6.11700
873.96002,34.75478,6.11700
875.96002,34.75851,6.12300
877.96002,34.75930,6.11300
880.00000,34.75610,6.08400
882.03998,34.75302,6.06000
884.00000,34.75406,6.06000
886.03998,34.75683,6.05900
888.08002,34.75926,6.06300
890.00000,34.76054,6.05800
892.03998,34.76126,6.04700
894.08002,34.75826,6.01900
895.96002,34.75880,6.01600
897.96002,34.75857,5.99900
900.00000,34.75747,5.98700
902.03998,34.75814,5.97700
903.96002,34.76039,5.97500
905.96002,34.76139,5.96700
907.96002,34.75991,5.95800
910.00000,34.76115,5.96100
912.00000,34.76212,5.95800
914.00000,34.76334,5.95600
916.00000,34.76415,5.94900
917.96002,34.76431,5.94600
920.00000,34.76448,5.94000
922.00000,34.76433,5.93000
924.00000,34.76326,5.92300
926.00000,34.76553,5.91900
927.96002,34.76970,5.90900
930.00000,34.77102,5.89300
932.03998,34.77214,5.89300
934.03998,34.77310,5.89000
936.00000,34.77319,5.88800
938.03998,34.77340,5.88400
940.03998,34.77535,5.87600
942.03998,34.77652,5.86900
943.96002,34.77852,5.85900
946.00000,34.78135,5.84800
948.00000,34.78364,5.84100
949.91998,34.78623,5.82800
951.96002,34.78710,5.82300
954.00000,34.78711,5.82100
956.00000,34.78747,5.81900
957.96002,34.78950,5.81000
960.00000,34.79016,5.79900
962.00000,34.79109,5.79600
964.00000,34.79121,5.79400
966.00000,34.79227,5.79000
968.00000,34.79457,5.78500
969.96002,34.79601,5.77400
971.96002,34.79629,5.75200
974.03998,34.79898,5.74600
976.00000,34.79905,5.74600
977.96002,34.79892,5.74500
979.96002,34.79982,5.74700
982.00000,34.80187,5.75100
984.03998,34.80409,5.75400
986.03998,34.80612,5.75200
988.00000,34.80620,5.74900
990.00000,34.80708,5.74500
992.00000,34.80709,5.74300
994.03998,34.80721,5.74100
996.00000,34.80829,5.73700
998.00000,34.80923,5.73100
1000.00000,34.80906,5.72600
1002.00000,34.80839,5.72500
1004.00000,34.80916,5.71700
1006.00000,34.80927,5.71400
1008.00000,34.80978,5.70900
1010.03998,34.81115,5.69200
1012.03998,34.81102,5.68900
1014.00000,34.81196,5.68900
1016.00000,34.81324,5.69000
1018.00000,34.81340,5.68500
1019.96002,34.81429,5.67700
1021.91998,34.81429,5.67100
1024.00000,34.81520,5.66500
1026.00000,34.81610,5.66100
1028.00000,34.81701,5.65900
1029.95996,34.81705,5.65900
1031.95996,34.81800,5.65800
1033.95996,34.81900,5.65800
1036.04004,34.82235,5.65900
1038.04004,34.82343,5.65200
1040.00000,34.82420,5.64300
1042.00000,34.82407,5.63900
1044.00000,34.82436,5.63800
1046.00000,34.82549,5.63100
1047.95996,34.82791,5.62100
1050.00000,34.83001,5.62300
1052.04004,34.83046,5.62300
1054.04004,34.83173,5.61400
1056.04004,34.83259,5.59900
1058.00000,34.83336,5.58700
1060.00000,34.83441,5.58000
1062.00000,34.83771,5.57200
1064.00000,34.84111,5.55700
1065.95996,34.84100,5.55400
1068.04004,34.84103,5.55400
1070.04004,34.84102,5.55300
1072.00000,34.84115,5.55300
1074.00000,34.84223,5.55000
1076.04004,34.84236,5.54500
1078.00000,34.84421,5.53800
1080.04004,34.84445,5.53400
1082.04004,34.84535,5.52500
1083.95996,34.84633,5.51800
1086.00000,34.84809,5.51100
1088.04004,34.84998,5.50900
1090.04004,34.84999,5.50900
1092.00000,34.84999,5.50900
1094.04004,34.84997,5.50900
