PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
5.00000,37.42595,27.49700
10.00000,37.42499,27.50000
15.00000,37.42496,27.50100
20.00000,37.42599,27.50400
25.00000,37.42601,27.50500
30.00000,37.42700,27.50500
35.00000,37.42628,27.50500
40.00000,37.42112,27.48600
45.00000,37.40251,27.40100
50.00000,37.26788,26.33700
55.00000,37.24293,25.45200
60.00000,37.21305,24.55900
65.00000,37.22509,24.26000
70.00000,37.20515,23.67800
75.00000,37.18240,23.17000
80.00000,37.22936,23.04300
85.00000,37.20095,22.63500
90.00000,37.14540,22.32500
95.00000,37.14864,22.19300
100.00000,37.15065,22.03000
105.00000,37.13429,21.92500
110.00000,37.11458,21.78300
115.00000,37.09347,21.56300
120.00000,37.05573,21.28300
125.00000,37.03219,21.12100
130.00000,37.01202,20.98900
135.00000,36.98161,20.80100
140.00000,36.96073,20.64500
145.00000,36.93532,20.47800
150.00000,36.89287,20.21100
155.00000,36.88265,20.16200
160.00000,36.85730,19.99600
165.00000,36.81458,19.73100
170.00000,36.80141,19.63700
175.00000,36.75618,19.42000
180.00000,36.69710,19.10600
185.00000,36.69811,19.04900
190.00000,36.68231,18.91600
195.00000,36.64826,18.77500
200.00000,36.63636,18.70500
220.00000,36.59215,18.38000
240.00000,36.55778,18.10700
260.00000,36.53364,17.92700
280.00000,36.51090,17.77700
300.00000,36.47807,17.56300
320.00000,36.43678,17.31400
340.00000,36.40717,17.13700
360.00000,36.35606,16.85500
380.00000,36.31021,16.61200
400.00000,36.25950,16.32600
450.00000,36.11279,15.45400
500.00000,35.94343,14.41900
550.00000,35.73563,13.01600
600.00000,35.61942,12.15200
650.00000,35.52988,11.40100
700.00000,35.39310,10.36800
750.00000,35.32864,9.79000
800.00000,35.23142,8.90700
850.00000,35.15520,8.14700
900.00000,35.09101,7.51800
950.00000,35.05965,7.00000
1000.00000,35.05366,6.67500
1050.00000,35.04743,6.33900
1100.00000,35.05441,6.12200
1150.00000,35.05845,5.91100
1200.00000,35.04849,5.68100
1250.00000,35.04035,5.43100
1300.00000,35.05033,5.26000
1350.00000,35.05323,5.09100
1400.00000,35.06220,4.97200
1450.00000,35.06424,4.86900
1500.00000,35.06123,4.75200
1550.00000,35.06318,4.63500
1600.00000,35.06124,4.54100
1650.00000,35.05520,4.41000
1700.00000,35.05016,4.31000
1750.00000,35.05016,4.23400
1800.00000,35.04603,4.14500
