PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
23.70000,37.31700,26.10900
30.80000,37.31700,26.11300
35.60000,37.31700,26.11300
40.60000,37.31600,26.11300
51.20000,37.25100,25.83800
61.10000,36.74700,22.18900
70.60001,36.70300,21.12700
80.70000,36.68000,20.71800
90.80000,36.68800,20.03200
100.60001,36.67900,19.60300
110.60001,36.69200,19.44000
120.30000,36.70700,19.34900
130.10001,36.69700,19.29800
139.70000,36.69700,19.23100
150.30000,36.67300,19.12000
160.10001,36.66500,19.05900
170.40001,36.64700,18.96000
180.30000,36.63200,18.89000
190.10001,36.60900,18.77100
198.70000,36.58100,18.60900
220.80000,36.51000,18.15700
240.80000,36.46400,17.86100
260.39999,36.38900,17.38500
279.89999,36.33200,17.01900
300.59998,36.29600,16.78800
330.79999,36.20700,16.21500
360.69998,36.11700,15.64300
400.69998,36.02800,15.06600
450.59998,35.91800,14.33200
499.69998,35.83100,13.70800
550.89996,35.73500,12.96100
600.70001,35.67700,12.43000
650.29999,35.62700,11.91400
700.59998,35.57300,11.41100
750.59998,35.53900,10.91400
800.50000,35.51000,10.50200
850.50000,35.46000,9.74200
900.79999,35.44000,9.17000
949.79999,35.44500,8.78900
1000.20001,35.44600,8.52100
1050.30005,35.44000,8.08600
1100.40002,35.43200,7.85500
1150.70007,35.41500,7.50600
1200.50000,35.39700,7.24700
1250.10010,35.37900,7.01900
1300.50000,35.35500,6.69800
1350.40002,35.32900,6.42200
1400.80005,35.31500,6.29900
1500.70007,35.25800,5.75400
1600.90002,35.21400,5.35100
1700.60010,35.17100,4.97100
1800.20007,35.13800,4.66700
1900.40002,35.11000,4.43000
2002.00000,35.07400,4.09000
