PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
1.08000,36.26000,26.79700
1.96000,36.26000,26.80300
2.96000,36.26200,26.80700
4.00000,36.26100,26.80900
5.04000,36.26300,26.81600
6.04000,36.26200,26.81600
7.00000,36.26300,26.81600
7.96000,36.26000,26.81600
9.00000,36.26000,26.81700
10.28000,36.26000,26.81600
11.96000,36.26100,26.81600
14.00000,36.26200,26.81600
16.00000,36.26300,26.81700
18.00000,36.26600,26.81900
20.00000,36.27200,26.82400
22.00000,36.28600,26.83400
24.00000,36.30400,26.83400
26.00000,36.34200,26.76700
27.96000,36.37600,26.47900
29.96000,36.38700,25.59500
32.00000,36.35700,24.87800
34.04000,36.26100,24.24400
36.00000,36.27000,24.11100
38.00000,36.26900,24.02200
40.00000,36.26900,24.00600
42.00000,36.26800,23.95200
44.00000,36.27300,23.85700
45.96000,36.28300,23.74900
48.00000,36.29600,23.59300
50.00000,36.31000,23.36500
52.00000,36.31900,23.17800
54.00000,36.33000,23.07000
56.04000,36.36100,23.00800
58.04000,36.41600,23.00200
60.04000,36.45800,22.91400
62.00000,36.42400,22.62400
64.00000,36.41800,22.50500
66.00000,36.41600,22.40000
68.00000,36.39500,22.24100
70.04000,36.40100,22.15500
72.00000,36.40600,22.04000
73.96000,36.44500,21.95200
75.96000,36.44400,21.70400
77.96000,36.43700,21.52500
80.00000,36.54000,21.55700
82.00000,36.60400,21.47100
84.04000,36.61800,21.32700
86.00000,36.58900,21.12300
88.00000,36.59700,21.01600
90.00000,36.57300,20.82600
92.04000,36.52500,20.54200
94.00000,36.52900,20.40600
96.00000,36.56100,20.29000
98.00000,36.59700,20.19700
100.04000,36.61300,20.09500
102.04000,36.65400,20.05800
104.04000,36.63900,19.78900
106.00000,36.58700,19.53100
108.04000,36.57900,19.49300
110.00000,36.57700,19.45200
112.00000,36.57500,19.35900
114.00000,36.57500,19.22300
116.00000,36.57100,19.11500
118.04000,36.57100,19.05300
120.04000,36.56000,18.92200
122.00000,36.55100,18.80600
124.04000,36.53600,18.66200
126.04000,36.52000,18.53900
128.03999,36.50800,18.45200
130.00000,36.49700,18.35800
132.00000,36.47800,18.23100
134.03999,36.46400,18.14800
136.03999,36.45300,18.07500
138.00000,36.44500,18.04000
139.96001,36.44300,18.02500
141.96001,36.43900,17.98600
144.00000,36.43000,17.93100
146.00000,36.42900,17.88900
148.00000,36.41000,17.74100
150.00000,36.39600,17.64100
152.00000,36.38300,17.55000
154.00000,36.37100,17.48400
155.96001,36.36100,17.40600
157.96001,36.34500,17.30900
159.96001,36.33200,17.24700
161.96001,36.32400,17.19100
164.00000,36.31100,17.10500
166.00000,36.30000,17.04100
168.00000,36.29000,16.97800
170.00000,36.27600,16.88300
172.00000,36.26000,16.78000
174.00000,36.24400,16.68700
176.00000,36.22900,16.61000
178.00000,36.22300,16.57300
180.00000,36.21100,16.50100
182.00000,36.20400,16.45100
184.00000,36.19100,16.35500
185.96001,36.16800,16.22600
187.96001,36.15900,16.17900
190.03999,36.15000,16.11000
192.00000,36.13100,15.96700
193.96001,36.10800,15.83500
195.96001,36.09300,15.75400
198.00000,36.08300,15.68900
199.96001,36.07000,15.61500
201.96001,36.06000,15.54400
204.00000,36.05000,15.50200
205.96001,36.04300,15.46400
207.96001,36.03600,15.41300
210.00000,36.02400,15.33100
212.00000,36.01700,15.28400
214.00000,36.00500,15.22400
216.00000,35.99700,15.19000
218.00000,35.99100,15.13600
220.00000,35.98100,15.08000
221.96001,35.97200,15.01100
224.00000,35.96000,14.94200
226.00000,35.95000,14.90300
227.96001,35.94600,14.86100
230.00000,35.93100,14.78500
232.00000,35.92300,14.72900
234.00000,35.91900,14.69400
236.00000,35.90600,14.61100
238.00000,35.89000,14.51700
240.00000,35.87800,14.46300
242.00000,35.87000,14.41800
244.00000,35.86600,14.40100
246.00000,35.86500,14.39300
247.96001,35.85600,14.32200
249.96001,35.84400,14.26900
252.00000,35.84200,14.25700
254.00000,35.83800,14.21400
256.00000,35.82500,14.14900
258.00000,35.82000,14.11000
259.95999,35.80900,14.05400
261.95999,35.80500,14.03500
264.00000,35.80200,14.00300
266.00000,35.79400,13.95900
267.95999,35.78700,13.92100
270.00000,35.78000,13.87500
272.00000,35.77700,13.84800
274.00000,35.76600,13.76400
275.95999,35.75300,13.70600
278.00000,35.74900,13.68700
280.04001,35.74000,13.62100
282.04001,35.72900,13.54600
284.00000,35.71800,13.47300
286.00000,35.70400,13.38400
288.00000,35.69300,13.32600
289.95999,35.68300,13.25700
291.95999,35.67700,13.22700
293.95999,35.66800,13.16500
296.00000,35.65800,13.09600
298.00000,35.64800,13.03200
300.00000,35.63800,12.94800
302.04001,35.61600,12.84100
304.04001,35.61400,12.82100
306.04001,35.60800,12.78400
308.04001,35.60100,12.73400
310.00000,35.59600,12.70600
312.00000,35.59000,12.65300
314.00000,35.57800,12.56900
316.04001,35.56800,12.51600
318.00000,35.56200,12.48200
319.95999,35.55800,12.45000
322.00000,35.54400,12.36100
323.95999,35.53200,12.27200
325.95999,35.51700,12.19300
327.95999,35.51300,12.16800
330.00000,35.50800,12.12900
331.95999,35.50300,12.08500
333.95999,35.49600,12.05200
335.95999,35.49100,12.00600
338.00000,35.48300,11.95500
340.00000,35.47700,11.92000
342.00000,35.47200,11.88800
344.00000,35.46800,11.85400
345.95999,35.45500,11.75800
348.00000,35.44200,11.69300
350.00000,35.43900,11.68100
352.00000,35.43400,11.63000
353.95999,35.42200,11.56000
356.00000,35.41700,11.54200
358.00000,35.41500,11.53000
360.00000,35.41400,11.50400
362.00000,35.40300,11.43300
363.95999,35.39500,11.36700
365.95999,35.38100,11.28400
368.00000,35.37400,11.24100
370.00000,35.36900,11.21100
372.00000,35.36500,11.18500
374.00000,35.36200,11.16700
376.00000,35.36000,11.15500
378.00000,35.35800,11.14500
380.00000,35.35600,11.12300
381.95999,35.35100,11.09400
384.00000,35.34800,11.06300
386.04001,35.34000,11.00700
388.00000,35.33500,10.98800
390.00000,35.33300,10.97500
391.95999,35.33100,10.95400
394.00000,35.32500,10.91000
396.04001,35.32200,10.87300
398.00000,35.31000,10.79600
400.00000,35.30500,10.78700
402.00000,35.30500,10.78400
404.00000,35.30500,10.77200
406.04001,35.29700,10.68600
408.00000,35.28500,10.62600
410.00000,35.27900,10.58400
412.00000,35.27400,10.55300
414.00000,35.26700,10.51100
416.00000,35.26600,10.50400
418.00000,35.26100,10.44400
420.00000,35.25200,10.39300
422.04001,35.24400,10.33500
424.00000,35.24000,10.27100
425.95999,35.21800,10.12600
427.95999,35.20600,10.06500
430.00000,35.20200,10.04500
431.95999,35.19900,10.01900
434.00000,35.19500,9.99000
436.07999,35.19100,9.94700
438.04001,35.18100,9.85800
440.00000,35.17200,9.81100
442.00000,35.17000,9.79900
444.00000,35.17600,9.79600
446.04001,35.17100,9.76000
448.00000,35.16800,9.72600
449.95999,35.15800,9.65800
452.00000,35.15500,9.63700
454.00000,35.15300,9.61900
456.00000,35.14900,9.58700
458.04001,35.14600,9.56900
460.04001,35.14500,9.55600
462.00000,35.14100,9.51100
463.95999,35.13600,9.46600
465.95999,35.13300,9.44000
468.00000,35.13000,9.40800
470.00000,35.12500,9.36000
472.00000,35.11900,9.31600
473.95999,35.11700,9.30600
476.00000,35.11500,9.29500
478.04001,35.11400,9.27100
480.00000,35.10800,9.22100
481.95999,35.10200,9.17500
484.00000,35.09700,9.12500
486.04001,35.09100,9.09000
488.04001,35.08800,9.06900
490.00000,35.08500,9.05700
492.00000,35.08400,9.05100
494.04001,35.08400,9.04800
496.00000,35.08300,9.02900
497.95999,35.08000,9.00300
499.95999,35.07600,8.97100
502.00000,35.07300,8.95800
504.00000,35.07300,8.95200
505.95999,35.07300,8.94500
508.00000,35.07100,8.91400
510.04001,35.06400,8.85000
512.00000,35.05700,8.80800
514.00000,35.05600,8.78300
516.00000,35.05200,8.75200
517.96002,35.04800,8.72100
