PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
60.00000,36.83401,25.70100
66.00000,36.91724,25.25600
72.00000,36.98859,25.32500
78.00000,37.06094,25.04500
84.00000,37.03548,24.79100
90.00000,37.06451,24.45900
96.00000,37.04665,24.03300
102.00000,37.01233,23.36300
108.00000,36.98878,22.73900
114.00000,36.96658,22.31000
120.00000,36.90028,21.57800
150.00000,36.86322,21.14300
180.00000,36.44038,18.04600
210.00000,36.13879,16.18700
240.00000,35.98544,15.25200
270.00000,35.85240,14.41300
300.00000,35.72797,13.62300
330.00000,35.62432,12.98500
360.00000,35.55344,12.57500
390.00000,35.42431,11.74100
420.00000,35.30573,10.98300
450.00000,35.22400,10.43000
480.00000,35.12868,9.77300
510.00000,35.10171,9.55700
570.00000,35.04407,9.09800
630.00000,34.96121,8.39400
690.00000,34.87169,7.61900
750.00000,34.84277,7.18100
810.00000,34.79841,6.69000
870.00000,34.79043,6.44900
930.00000,34.78439,6.18200
990.00000,34.79739,5.94700
1050.00000,34.82726,5.71100
1110.00000,34.85825,5.55700
1170.00000,34.89528,5.41000
1230.00000,34.91822,5.24200
1290.00000,34.93620,5.10600
1350.00000,34.95130,4.98700
1410.00000,34.96724,4.80500
1470.00000,34.97819,4.66200
1530.00000,34.98424,4.54700
1590.00000,34.98619,4.40200
1650.00000,34.98619,4.29100
1710.00000,34.98503,4.17800
