PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
2.50000,35.49900,28.14400
3.40000,35.50000,28.14300
4.50000,35.50000,28.13400
5.70000,35.49700,28.11800
6.70000,35.49800,28.12800
7.60000,35.49900,28.12300
8.70000,35.50600,28.10900
9.40000,35.50400,28.11100
10.30000,35.50900,28.10500
11.30000,35.52200,28.10200
12.40000,35.54700,28.10800
13.30000,35.56400,28.11200
14.30000,35.61400,28.11900
15.50000,35.62700,28.12100
16.60000,35.65600,28.12500
17.60000,35.67300,28.12800
18.70000,35.67900,28.12800
19.60000,35.69200,28.13400
20.60000,35.72100,28.14700
21.60000,35.73800,28.15700
22.60000,35.74300,28.16100
23.40000,35.74500,28.16600
24.60000,35.75200,28.17000
25.50000,35.75400,28.16200
26.40000,35.75300,28.15300
27.60000,35.75700,28.12800
28.60000,35.78400,28.01000
29.60000,35.80400,27.88100
30.60000,35.81900,27.77400
31.60000,35.85100,27.56500
32.60000,35.89300,27.31600
33.60000,35.93300,27.15500
34.60000,35.96700,27.04300
35.60000,35.98800,26.88100
36.60000,36.01300,26.61200
37.60000,36.04700,26.24000
38.70000,36.06300,25.79500
39.50000,36.06400,25.42400
40.40000,36.05700,24.67000
41.40000,36.05500,23.93800
42.40000,36.04500,23.30400
43.60000,36.03400,22.96800
44.60000,36.01900,22.50000
45.70000,36.00300,22.00100
46.50000,35.97300,21.44400
47.40000,35.95800,21.20200
48.40000,35.92900,20.81800
49.40000,35.90200,20.19300
50.40000,35.88600,19.51800
51.40000,35.87700,19.27300
52.40000,35.86300,19.06800
53.50000,35.83300,18.50300
54.50000,35.80700,17.82100
55.50000,35.81500,17.60700
56.60000,35.80300,17.27600
57.60000,35.78500,17.17100
58.60000,35.76600,16.98100
59.60000,35.74200,16.66900
60.50000,35.72100,16.48900
61.40000,35.70500,16.32400
62.60000,35.67800,15.95900
63.50000,35.66200,15.83500
64.30000,35.65300,15.76800
65.50000,35.63500,15.61800
66.40000,35.61100,15.50600
67.30000,35.59600,15.40900
68.50000,35.57700,15.29400
69.40000,35.56200,15.17800
70.40000,35.54500,15.07800
71.60000,35.53000,14.95700
72.60000,35.52200,14.86800
73.40000,35.51400,14.75400
74.40000,35.50400,14.62500
75.40000,35.49600,14.57100
76.50000,35.49100,14.52700
77.40000,35.48900,14.51500
78.40000,35.48800,14.51100
79.60000,35.48600,14.48500
80.50000,35.48200,14.45000
81.40000,35.47800,14.40900
82.40000,35.47400,14.35500
83.50000,35.47100,14.33100
84.60000,35.47000,14.30900
85.60000,35.46700,14.26600
86.40000,35.46300,14.24100
87.30000,35.46100,14.22900
88.30000,35.45900,14.22400
89.30000,35.45700,14.18400
90.40000,35.45200,14.11400
91.40000,35.44800,14.08200
92.40000,35.44800,14.07400
93.40000,35.44700,14.06800
94.50000,35.44600,14.06400
95.60000,35.44600,14.06300
96.60000,35.44600,14.06200
97.40000,35.44600,14.06000
98.30000,35.44400,14.04700
99.30000,35.44400,14.04000
100.30000,35.44400,14.03900
101.40000,35.44300,14.02400
102.50000,35.44100,14.01400
103.40000,35.43900,14.00800
104.60000,35.44000,14.00100
105.50000,35.44000,14.00300
106.40000,35.43900,13.99700
107.60000,35.43800,13.99200
108.50000,35.43700,13.99300
109.40000,35.43600,13.98200
110.50000,35.43000,13.92700
111.60000,35.42400,13.86100
112.70000,35.42100,13.83600
113.60000,35.41900,13.83100
114.30000,35.41700,13.81700
115.30000,35.41100,13.74300
116.30000,35.40700,13.70800
117.30000,35.40400,13.67700
118.30000,35.40000,13.64100
119.40000,35.39900,13.62900
120.40000,35.39700,13.62200
121.40000,35.39600,13.61100
122.40000,35.39400,13.59000
123.50000,35.39100,13.55400
124.50000,35.38700,13.51600
125.50000,35.38500,13.50400
126.50000,35.38200,13.47600
127.60000,35.38000,13.45500
128.60001,35.37700,13.42400
129.60001,35.37600,13.40000
130.70000,35.37300,13.37100
131.70000,35.37300,13.36000
132.50000,35.37300,13.35700
133.30000,35.37200,13.35200
134.30000,35.37200,13.34800
135.30000,35.37100,13.34500
136.39999,35.37100,13.32000
137.50000,35.36300,13.23400
138.70000,35.35300,13.13200
139.50000,35.34600,12.99900
140.39999,35.33000,12.89500
141.50000,35.32300,12.85200
142.60001,35.31900,12.82100
143.70000,35.31400,12.79100
144.50000,35.31200,12.77300
145.30000,35.30900,12.75300
146.50000,35.30400,12.71700
147.70000,35.29800,12.66400
148.60001,35.29600,12.63300
149.50000,35.29600,12.61500
150.60001,35.29400,12.59700
151.60001,35.29200,12.58500
152.39999,35.28900,12.55600
153.60001,35.28500,12.53100
154.50000,35.28300,12.51500
155.39999,35.28000,12.50700
156.50000,35.27400,12.47700
157.39999,35.27000,12.44100
158.30000,35.26500,12.40300
