PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
3.00000,32.44300,29.34600
3.90000,32.53300,29.27300
5.00000,32.81900,29.20300
6.00000,33.28600,29.14200
6.90000,33.69800,29.05900
7.80000,33.96000,28.99200
8.90000,34.26600,28.86100
10.00000,34.35600,28.79400
11.10000,34.38500,28.78500
12.10000,34.39400,28.77500
13.20000,34.39600,28.76500
14.20000,34.40300,28.75400
15.30000,34.41800,28.73700
16.40000,34.48000,28.67600
17.50000,34.53700,28.63700
18.60000,34.56800,28.61400
19.80000,34.70700,28.54300
21.00000,34.76900,28.50600
22.20000,34.85500,28.48000
23.40000,34.89700,28.48600
24.60000,34.96400,28.47800
25.80000,35.18500,28.39100
27.20000,35.45900,28.23900
28.70000,35.83100,27.98800
30.20000,35.90200,27.88200
31.70000,35.99000,27.63400
33.50000,36.09700,27.35200
35.10000,36.21400,27.19900
36.90000,36.34100,27.03200
38.80000,36.33600,26.84500
40.80000,36.46700,26.65900
42.80000,36.58700,26.17100
45.00000,36.58500,25.97400
47.10000,36.59000,25.91000
49.30000,36.59000,25.88400
51.50000,36.59100,25.86500
53.70000,36.59400,25.85700
55.80000,36.59300,25.85400
58.10000,36.59300,25.85600
60.20000,36.59400,25.85500
62.30000,36.59300,25.85400
64.40000,36.59300,25.85200
67.50000,36.59400,25.85300
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
