PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
6.00000,36.13715,28.25500
7.00000,36.14914,28.26200
8.00000,36.19411,28.28100
9.00000,36.23407,28.29500
10.00000,36.25006,28.30800
15.00000,36.28605,28.28400
25.00000,36.41597,27.94700
35.00000,36.63483,27.15600
46.00000,36.71481,26.09400
55.00000,36.78577,25.63600
66.00000,36.93170,25.04400
76.00000,37.03263,24.38400
85.00000,37.06462,23.30100
95.00000,37.01868,22.59000
105.00000,36.99568,21.90000
115.00000,36.94873,21.32600
125.00000,36.82681,20.56800
135.00000,36.66590,19.60200
145.00000,36.48703,18.55500
155.00000,36.31415,17.48700
165.00000,36.20523,16.70200
175.00000,36.11928,16.09000
186.00000,35.98638,15.38400
196.00000,35.85646,14.72500
213.00000,35.67158,13.71500
238.00000,35.50271,12.77100
263.00000,35.35681,11.89100
288.00000,35.25287,11.26100
312.00000,35.17993,10.81300
337.00000,35.12296,10.41700
362.00000,35.06899,10.03000
387.00000,35.03701,9.79500
413.00000,35.00604,9.51200
438.00000,34.97907,9.23200
463.00000,34.96008,9.03600
488.00000,34.94410,8.87300
513.00000,34.91712,8.59500
538.00000,34.90813,8.44200
563.00000,34.89013,8.19100
588.00000,34.88215,7.99400
613.00000,34.85816,7.75400
638.00000,34.82818,7.41500
664.00000,34.80720,7.13900
688.00000,34.79721,6.94900
713.00000,34.78623,6.75500
738.00000,34.77623,6.59000
763.00000,34.77224,6.44700
788.00000,34.76724,6.34200
813.00000,34.76125,6.17700
838.00000,34.76025,6.00100
863.00000,34.76625,5.90300
888.00000,34.77324,5.77500
913.00000,34.78325,5.66900
937.00000,34.79723,5.59300
963.00000,34.81024,5.52800
988.00000,34.82122,5.45200
1013.00000,34.83821,5.41200
1038.00000,34.84521,5.32700
1063.00000,34.85621,5.28200
1088.00000,34.87720,5.25300
1113.00000,34.89118,5.18900
1138.00000,34.90918,5.14000
1164.00000,34.92419,5.08200
1188.00000,34.93716,5.03500
1213.00000,34.95116,4.97100
1239.00000,34.96014,4.91600
1263.00000,34.96614,4.88200
1288.00000,34.97215,4.83600
1313.00000,34.97715,4.77500
1338.00000,34.98215,4.73400
1363.00000,34.98314,4.70200
1388.00000,34.98614,4.64500
1413.00000,34.98814,4.60500
1438.00000,34.99015,4.55700
1463.00000,34.99215,4.46500
1488.00000,34.99413,4.39800
1513.00000,34.99314,4.32900
1538.00000,34.99314,4.27500
1563.00000,34.99215,4.24100
1588.00000,34.99215,4.18500
1613.00000,34.99015,4.12800
1638.00000,34.98816,4.09400
1663.00000,34.98715,4.04300
1688.00000,34.98516,4.01200
1713.00000,34.98315,3.95300
1738.00000,34.98316,3.94200
1763.00000,34.98215,3.91900
1788.00000,34.98116,3.89000
1813.00000,34.98016,3.84500
1838.00000,34.97816,3.81400
1863.00000,34.97717,3.78400
1888.00000,34.97617,3.74700
1913.00000,34.97517,3.72300
1939.00000,34.97417,3.70300
1963.00000,34.97317,3.67700
1988.00000,34.97217,3.64400
2013.00000,34.97118,3.61200
2033.00000,34.97017,3.58600
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
